35 AI Continuum
Genesis;1;
Improvise;2;
Build Mosaic;3;
Recombine;4;
Craft;5;
Create;6;
Construct;7;
Adjust;8;
Standardize;9;
Hobby Project;10;
Try;11;
Compile;12;
Map Image and Educate;13;
Deconstruct;14;
Restructure;15;
Re-Develop;16;
Re-Validate and Re-Verify;17;
Re-Compose Scenery;18;
Display the Validation Result; Re-Develop;19;
Redesign;20;
Reconstruct;21;
Study;22;
Re-Examine;23;
Re-Fix;24;
Examine Samples;25;
Compare New Original;26;
Unit tests Reconsolidation;27;
Re-adjustment;28;
Reimplement again;29;
Re-energize;30;
Re-refine;31;
Remodel;32;
Scale;33;
Reproduce;34;
Replicate;35;
Replicator;70;

