(33)AG Kontinuum;;
Tüfteln;A1;
Technik;B2;
Techologie;C3;
Technisieren;D4;
Implementieren;E5;
Skalieren;F6;
techisches Zeichnen;G7;
Entwurf;H8;
Technologisieren;I9;
Einbau;J10;
Technokratie;K11;
Technikreihe;L12;
Reparatur;M13;
Ingenieurskunst;N14;
Einsatzimplementierung;O15;
Generalüberholen;P16;
Beschaffung woher;Q17;
Matrix aus Technik Relational verkreuzen;R18;
wohin mit den Erzeugnissen;S19;
Zusammenbau;T20;
Einsatz wie Plotter;U21;
Weiter-Entwicklung;V22;
Bauplan;W23;
Matrix-Technologien;X24;
Volks-Technik;Y25;
Kompatibilität;Z26;
Interoperabilität;AA27;
Zusammenwirken;AB28;
Tiefenanalyse;AC29;
Gerät Device;AD30;
Feinjustieren;AE31;
Design Technologie Entwurf;AF32;,Technisieren
Produkt.;AG33;
