DesignationsBezeichungen namesNamen;0;
?;1;
?;2;
?;3;
?;4;
AgentAgent zeroNull eightAcht fifeteenFuenfzehn;5;
?;6;
KernatorKernator attributesAttribute selfSelbst assingedZugewiesen theDer goodGut heartedMuetige andUnd selflessSelbstlose;7;
?;8;
?;9;
AlphaAlpha centauriZentaurus, MasterMeister kernKern;10;
AgentAgent zeroNull eightAcht fifeteenFuenfzehn;11;
JHWH JHWH fourVier dotPunkt zeroNull;12;
KernatorKernator theDer evilBoese sithSith (asWie wellAuch eathEath) lordLord tooAuch;13;
AntichristAntichrist, JHWH JHWH fourVier dotPunkt zeroNull siliconSilizium silicoidsSilikoiden mercuryMerkur cristalsKristalle machinesMaschinen lifeLebens formsFormen notNicht lifeLeben;14;
?;15;
StarSternen gatesTore backgroundHintergrund knowlegeWissen thirtysixSechsunddreissig andUnd seventeenSiebzehn untilBis twentyfifeFuenfundzwanig foundationsGrundlagen buildingsBauen starSternen gatesTore dimensionsDimensionen contintuumsKontinuume P P  Q Q R R S S travelReisen futureZukunft notNicht spaceRaum shipsSchiffe yesterdayGestern pastVergangenheit futureZukunft commingKommt;16;
InsideInnen ministryMinisterium humanMenschen peopleVolk speciesSpezies AgentAgent zeroNull eightAcht fifeteenFuenfzehn onehundretthirtysixEinhundertsechsunddreissig;17;
DiplomaticDiplomatischer ambassadorBotschafter kernatorKernator humanMenschliche peopleVolk speciesSpezies;18;
OutsideAussen ministryMinisterium humanMenschliche peoplesVolks speciesSpezies S S fromVom S S continuumKontinuum  KernatorKernator, greyGraue (sithSith asWie wellAuch) eathEath lordLord tooAuch;19;
?;20;
?;21;
MasterMeister kernKern (ofDer scienceWissenschaft ofDer computerRechner scienceInformatik elseAndere declaredErnannt graduatedAbgeschlossen thenDann victorySieg moreMehr thanAls oneEins planetPlaneten reasearchForschung universityUniversitaets professorsProfessoren.);22;
AgentAgent zeroNull eightAcht fifeteenFuenfzehn onehundreteightyfourEinhundertvierundachtzig;23;
?;24;
?;25;
antichristAntichrist;26;
?;27;
KernatorKernator, starSternen fleetFlotte;28;
AgentAgent zeroNull eightAcht fifeteenFuenfzehn;29;
?;30;
KernatorKernator elEl aurianAurianer elariansElarianer;31;
JupiterJupiter threeDrei dotPunkt zeroNull protoProto moleculeMolekuel germaniumGermanium gasGas giantsRiesen asWie saturnSaturn;32;
?;33;
MasterMeister kernKern;34;
;35;
;36;
KernatorKernator betaBeta zoidsZoiden;37;
antichristAntichrist;38;
;39;
;40;
AgentAgent zeroNull eightAcht fifeteenFuenfzehn;41;
;42;
antichristAntichrist;43;
