"Logik, Wahr Falsch, Frauenlogik, Kinderlogik";1;
"Binäre Logik, 2 Etwas wie wahr oder falsch = Bestimmungslogik, Männerlogik, Arbeitslogik, praktische Logik";2;
"Vorhandenheits-Logik, z.B. Möglichkeit einer Variable zu einem Etwas bei der Modal-Logik nur das beides oder der Existenzquantor zu einem Wahrheitswert statt Variable, Frauenlogik, Altenlogik, Theoretische Logik";3;
"Lineare Logik, z.B. schwammige Fuzzy-Logic oder Allquantor von einem Wahrheitswert, oder aus Modallogik die notwendigkeit oder das hinreichende (umgekehrte Richtung zu einem Wahrheitswert), Imperiumlogik, Fortschrittlogik, Handhabungslogik";4;
"Kausal Logik, z.B. das Notwendige oder das hinreichende (umgekehrte Richtung zu einem Wahrheitswert) zu einer Logikvariablen oder vom Allquanor auch zu einer Logikvariablen, Naturlogik, Gesetzlogik";5;
"Mehrwertige  z.B. aus Prädikatenlogikstufen n bis m zu Werten h bis p (beides besser lieber gleicher Abstand) = Intensitätslogik, Wirtschaftslogik, Entwicklungslogik";6;
"Winkelrichtungslogiik Navigationslogik Kompasslogik Lenklogik Kommunikationslogik, Politiklogik, Captain Logik, Schiffsreiselogik, Entdeckungslogik";7;
"Raum Logik oder Koordinationssystem Logik aus  z.B Stufen Fehlerkategieren Semantikstufen Potenzialstufen Linearitätsstufen Anwendungsstufen";8;
"Variablenlogik = Potenzial-Logik, Organismenlogik";9;
"Logiik durch Logik verifizieren falsifizieren, Logik auf Logik anwenden als Logik².also womöglich Relationale Logik wie rationale Zahlen zu ganzen natürlichen Zahlen analog = Effektlogik, Zivilisationslogik, Strukturlogik";10;
"Systemlogik Verschränkungslogik Deltalogik Verhaltenslogik Robotiklogik Androidenlogik, 5 mal 11 ist 55 generierungslogik oder lazy evaluation logik oder künstliche intelligenz logik";11;
"Mengen Logik, Baumlogik, Tupel Logik, Record Struct Akten Logik = Stofflogik, Strahlungslogik (12 und 17), 12 Hierarchelogik, Ränge Logik Status und Privilegienlogik";12;
"Unärlogik Einpolaritätslogik Signallogik, Infrastrukturlogik, Wege Straßenlogik";13;
"Operationen-Operanden Logik = Koinzidenzlogik";14;
"Materielogik Zirkulationslogik Rekursionslogik Inkursionslogik Universumlogik";15;
"Dimensionen-Logik = Transformationen-Logik Funktionalitätslogik Umwandlungslogik Verwandlungslogik, Gewerkschaftenlogik, Arbeitslogik";16;
"Zufallslogik Logik-Programmierungslogik Strahlungslogik (12 und 17)";17;
"Relationalwertige = Anziehungs oder Kraftlogik";18;
"Optimerungsraumlogik";19;
"Klassenwertige = Auswirkungslogiik, Musterlogiik";20;
"Instanzlogik Objektlogik";21;
"Vererbungs (-Baum) Logik";22;
