Korrektur Farben, zur Dreizehnten Dimension Signale im Multiversum was die Dimensionen selbst sind, Farben alternierend links rechts Frequenzband (Falsch waren siebentens und sechstens ist nicht Röntgen, sondern Mikrowellen also sind Mikrowellen nicht siebentens sondern nun sechstens und siebtens sind Röntgen) (analog auch mit akustischen oder mit  Gravitationswellen antagonistisch links rechts Frequenzband);0
Gelb 570–590 nm 526–508 THz, Sichtbares Licht: 400–700 nm;1
Blau 450–495 nm 666–606 THz, Sichtbares Licht: 400–700 nm;2
Rot 620–750 nm 480–405 THz, Sichtbares Licht: 400–700 nm;3
Violett 400–450 nm 750–666 THz oder Ultraviolett vergleichbar zu Lila welches aber nur eine Mischung von Rot und Blau ist, im Gegensatz zu Violett was einem Frequenzband entspricht, Melanin schwarze Hautfarbe gut resobiert, (UV, ca. 10–400 nm);4
Infrarot erscheint als Tiefengrün und erscheint ansonsten als Schwarz, wenn man die Farbe nicht sehen kann, Melanin schwarze Hautfarbe mittel wenig resobiert;5
(nicht Röntgen, hier hat jemand einen Fehler eingebaut) Mikrowellen erscheinen als orange Rot gemischte Erscheinung roetliches Orange, Melanin schwarze Hautfarbe schlecht resobiert, (ca. 1 mm–1 m, Frequenz 300 MHz–300 GHz);6
(nicht Mikrowellen, hier hat jemand einen Fehler eingebaut)  Röntgen (weiss hell braun) erscheint als Weiss wenn man die Farbe nicht sehen kann, ansonsten Braun und somit vielleicht weisliches helles Braun;7
Terahertz;8
Radiowellen, aber nur ein kleinerer Teil davon nur für Planet;9
ULF (Ultra Low Frequency) 300–3.000 Hz, Quasi-static / Quasi-stationär, nicht die unteren Radiowellen hier hat jemand einen Fehler eingebaut, geophysikalisch, Quasi-static / Quasi-stationär, ULF (Ultra Low Frequency), planetaren Magnetfeldern, Sonnenwind, geomagnetischen Resonanzen, erscheinen als weiss wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;10
UHF (Ultra High Frequency) Satelliten, L S C Baender;11
SLF – Super Low Frequency, 30–300 Hz, vielleicht grau;12
Microwave Window / „Water Hole“ (1–10 GHz) 1–10 GHz, speziell 1–3 GHz, Natürliches Band, SETI-Standard, Hellgrau vielleicht;13
ELF – Extremely Low Frequency (3–30 Hz), Quasi-stationäre Felder (<3 Hz), erscheinen als schwarz oder dunkel wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;14
Kosmische Hintergrundstrahlung, Ursprungsfrequenz: ~160.2 GHz (heute stark rotverschoben), dunkel oder schwarz;15
Hypothetische dunkle-Materie-Frequenzen / skalare Felder;16
Vielleicht Gamma-Strahlung, erscheinen als schwarz oder dunkel wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;17
Vermutlich wahrscheinlich Gravitationswellen (technisch keine elektromagnetische Wellen, aber „physikalisch angrenzend“ im Extrembereich);18
Vielleicht Gamma-Strahlung, Hellgrau vielleicht;19
Vielleicht Gamma-Strahlung, Eher dunkel und schwarz;20
Eher weisslich, hellgrau vielleicht;21
erscheinen als weiss wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;22
erscheinen als schwarz wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;23
?;24
?;25
Eher dunkel;26
?;27
Vielleicht wer weiss eher weisslich oder nicht oder grau;28
erscheinen als schwarz wenn man die Farbe nicht sehen kann, z.B. als Mensch nur die ersten drei Farben;29
Eher hell weiss;30
Hellgrau vielleicht;31
